City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
153,Tabou,4.423,-7.3528,74.08,heavy intensity rain,97,100,7.63,CI,2022-08-31 22:25:54
154,Khatanga,71.9667,102.5,37.78,overcast clouds,94,100,17.52,RU,2022-08-31 22:25:54
155,Choa Saidan Shah,32.7201,72.9849,81.1,clear sky,58,0,1.59,PK,2022-08-31 22:25:54
156,Nanortalik,60.1432,-45.2371,40.98,broken clouds,80,65,11.92,GL,2022-08-31 22:25:55
157,Hualmay,-11.0964,-77.6139,64.04,clear sky,74,9,13.98,PE,2022-08-31 22:20:58
158,Castro,-24.7911,-50.0119,53.46,few clouds,82,12,6.17,BR,2022-08-31 22:25:55
159,Robe,-37.1833,139.75,54.64,overcast clouds,77,100,11.3,AU,2022-08-31 22:25:55
160,Ponta Do Sol,32.6667,-17.1,73.0,overcast clouds,67,98,7.05,PT,2022-08-31 22:25:56
161,Townsville,-19.25,146.8,72.48,few clouds,68,20,5.75,AU,2022-08-31 22:22:13
162,Talnakh,69.4865,88.3972,36.21,few clouds,86,14,3.09,RU,2022-08-31 22:25:56
163,Shaoguan,24.8,113.5833,72.95,overcast clouds,90,92,2.33,CN,2022-08-31 22:25:56
164,Ahipara,-35.1667,173.1667,57.6,overcast clouds,67,100,5.93,NZ,2022-08-31 22:25:57
165,Storforshei,66.4043,14.5233,46.65,broken clouds,87,75,3.44,NO,2022-08-31 22:25:57
166,New Norfolk,-42.7826,147.0587,56.71,overcast clouds,66,93,5.99,AU,2022-08-31 22:25:57
167,Dwarka,22.2394,68.9678,80.44,overcast clouds,80,87,11.52,IN,2022-08-31 22:25:58
168,Bolu,40.6667,31.5833,66.54,scattered clouds,96,34,3.04,TR,2022-08-31 22:25:58
169,Alofi,-19.0595,-169.9187,76.89,broken clouds,83,75,12.66,NU,2022-08-31 22:25:58
170,Kenai,60.5544,-151.2583,53.69,light rain,94,100,10.36,US,2022-08-31 22:25:58
171,Rocha,-34.4833,-54.3333,55.87,overcast clouds,92,87,6.6,UY,2022-08-31 22:25:59
172,Moree,-29.4667,149.85,59.41,broken clouds,74,56,10.67,AU,2022-08-31 22:25:08
173,Bilibino,68.0546,166.4372,37.42,scattered clouds,67,45,2.75,RU,2022-08-31 22:25:59
174,Bubaque,11.2833,-15.8333,79.9,light rain,81,100,17.58,GW,2022-08-31 22:25:59
175,Klaksvik,62.2266,-6.589,50.92,few clouds,90,13,17.02,FO,2022-08-31 22:26:00
176,Santa Maria,-29.6842,-53.8069,61.9,clear sky,72,0,8.05,BR,2022-08-31 22:26:00
177,Chara,56.9064,118.2631,39.45,light rain,77,87,2.13,RU,2022-08-31 22:26:00
178,Christchurch,-43.5333,172.6333,64.47,broken clouds,65,70,3.44,NZ,2022-08-31 22:25:06
179,Los Llanos De Aridane,28.6585,-17.9182,69.55,overcast clouds,94,100,11.5,ES,2022-08-31 22:23:32
180,Hithadhoo,-0.6,73.0833,80.55,overcast clouds,75,94,15.88,MV,2022-08-31 22:26:01
181,Vikhorevka,56.1201,101.1636,53.19,moderate rain,97,100,11.79,RU,2022-08-31 22:27:01
182,Naze,28.3667,129.4833,83.32,scattered clouds,83,32,16.26,JP,2022-08-31 22:27:01
183,Nikolskoye,59.7035,30.7861,46.87,light rain,95,100,11.59,RU,2022-08-31 22:27:02
184,Benjamin Hill,30.1667,-111.1,89.69,few clouds,40,14,3.42,MX,2022-08-31 22:27:02
185,Sorland,67.667,12.6934,50.4,overcast clouds,69,100,9.42,NO,2022-08-31 22:27:02
186,Manado,1.487,124.8455,75.97,scattered clouds,100,40,2.3,ID,2022-08-31 22:27:03
187,Tyup,42.7276,78.3648,52.47,clear sky,41,0,4.18,KG,2022-08-31 22:27:03
